Date,NVIDIA,Microsoft,Apple,Alphabet,Amazon,Meta,Broadcom,Tesla,Berkshire Hathaway,TSMC
1985,,,100,,,,,,,
1986,,100,123.01,,,,,,,
1987,,224.83,244.39,,,,,,,
1988,,13.19,-24.07,,,,,,100,
1989,,-12.91,1.53,,,,,,0.07,
1990,,236.86,-32.86,,,,,,-0.15,
1991,,48.24,55.12,,,,,,-0.01,
1992,,54.64,-7.01,,,,,,0.09,
1993,,35.2,-49.62,,,,,,2.74,
1994,,20.29,43.64,,,,,,-0.02,
1995,,79.8,14.59,,,,,,0.74,
1996,,25.9,-39.77,,100,,,,-2.62,
1997,,111.51,-2.69,,281.91,,,,41.58,100
1998,,74.6,90.34,,1113.6,,,,54.97,-6.01
1999,100.00,72.06,81.78,100,56.75,,,,-5.43,155.74
2000,95.18,-8.84,-10.1,-21.14,-78.07,,,,28.91,-11.47
2001,202.09,-5.68,-35.86,925.66,-27.83,,,,7.57,34.74
2002,190.73,-26.99,-2.51,-29.53,81.37,,,,-3.66,-39.15
2003,-84.18,-3.41,42.77,41.9,190.7,,,,16.34,62.8
2004,151.08,12.22,85.71,52.59,-13.63,,,,4.46,-9.58
2005,-1.45,-12.74,210.39,117.48,8.37,,,,0.12,33.17
2006,103.88,-9.67,51.11,21.27,-15.71,,100,100,25.05,13.3
2007,37.06,18.05,104.12,54.86,133.33,100,-13.11,0,29.52,-6.42
2008,27.25,-10.62,-14.78,-55.04,-43.37,0,0,0,-32,-30.6
2009,-67.71,-17.14,43.98,102.88,169.11,0,-5.24,0,2.39,44.85
2010,108.45,-4.63,63.32,-3.44,38.05,7.43,72.43,-58.35,28.54,10.38
2011,51.08,8.85,40.56,10.14,-2.6,0,46.19,111.28,-3.93,6.79
2012,-35.06,16.35,66.91,11.03,38.68,-3,-2.37,27.19,17.66,31.43
2013,-12.58,12.04,-28.39,61.15,67.7,60.51,41.51,393.71,31.56,5.95
2014,16.38,20.26,37.28,-3.93,-21.31,51.24,89.33,54.19,26.63,33.66
2015,25.28,4.32,7.64,48.55,120.08,43.65,50.03,11.06,-12.08,1.42
2016,39.73,12.33,-6.57,2.29,12.61,12.96,91.79,0.18,23.48,26.92
2017,274.04,31.67,30.39,33.96,57.94,55.31,71.47,67.45,21.68,28.1
2018,148.42,42.21,39.13,-0.51,30.32,-27.31,-13.92,10.01,2.96,-5.59
2019,-43.24,37.11,-9.67,27.72,24.79,54.62,31.94,30.4,10.27,50.8
2020,74.49,48.76,92.79,28.62,78.4,32.95,16.34,789.13,-0.1,60.12
2021,123.19,32.01,25.94,62.1,3.6,21.58,53.32,58.32,22.13,16.04
2022,87.07,-5.83,-0.59,-40.41,-49.27,-65.85,-11.2,-63.01,0.49,-27.08
2023,-22.05,31.71,10.5,53.08,82.92,181.76,81.59,104.52,13.89,32.22
2024,223.68,33.85,29.66,32.18,46.76,62.85,123.23,63.73,26.11,81.29
2025,49.20,-12.69,8.47,27.87,2.01,25.93,101.66,10.02,10.33,-94.91

2025,88.53,8.94,8.47,27.87,2.01,25.93,101.66,10.02,10.33,-94.91
